Full Filename,Short Filename,Trait1-CyberTag,Trait2-Time,Trait3-Seed,Trait4-Platform,Trait5-Special
G:\My Drive\AAVOC\10k\finalfinal\lMf20nlFWg2PH0wP6mZM-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city night lMf20nlFWg2PH0wP6mZM,cyberpunk,night,mZM,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 286044076-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dawn 286044076,cyber,dawn,076,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\6dTwcteY6LoHlGKW0k0j-gigapixel-art-scale-6_00x-SharpenAI-Focus.jpg,streets of cyberpunk city red light 6dTwcteY6LoHlGKW0k0j,cyberpunk,none,k0j,Nightcafe,red
G:\My Drive\AAVOC\10k\finalfinal\OalEGRLTkxmYlAmtjfvS-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at dawn OalEGRLTkxmYlAmtjfvS,cyberpunk,dawn,fvS,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dusk detailed painting [ruDALL-E Arbitrary Resolution v2] 563899934-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city dusk 563899934,cyber,dusk,934,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cybepunk city day detailed painting [ruDALL-E Arbitrary Resolution v2] 1891908895-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cybepunk city day 1891908895,cybepunk,day,895,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cybepunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 934791579-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cybepunk city night 934791579,cybepunk,night,579,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 201410451-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dawn 201410451,cyber,dawn,451,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\ZurEHp4Yj14BwRae8QIo-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at dusk ZurEHp4Yj14BwRae8QIo,cyberpunk,dusk,QIo,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\JNJIfUeLaTE2ERi4BgRM-gigapixel-art-scale-6_00x-SharpenAI-Focus.jpg,streets of cyberpunk city at dawn JNJIfUeLaTE2ERi4BgRM,cyberpunk,dawn,gRM,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dusk detailed painting [ruDALL-E Arbitrary Resolution v2] 1355313376-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city dusk 1355313376,cyber,dusk,376,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cybepunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 2134130278-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cybepunk city night 2134130278,cybepunk,night,278,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\CCMGTorN3W8GrQOshF40-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyberpunk city dawn CCMGTorN3W8GrQOshF40,cyberpunk,dawn,F40,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\YQ1DFDqFoJWhheu4DbWH-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city dawn YQ1DFDqFoJWhheu4DbWH,cyberpunk,dawn,bWH,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\TCDCs28BCMRz8yK6fnZ2-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city purple light TCDCs28BCMRz8yK6fnZ2,cyberpunk,none,nZ2,Nightcafe,purple
G:\My Drive\AAVOC\10k\finalfinal\cyber city sunset detailed painting [ruDALL-E Arbitrary Resolution v2] 496717752-gigapixel-art-scale-6_00x-SharpenAI-Focus.png,cyber city sunset 496717752,cyber,sunset,752,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city night detailed painting [ruDALL-E Arbitrary Resolution v2] 423840553-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city night 423840553,cyber,night,553,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 1143046661-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dawn 1143046661,cyber,dawn,661,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\RUr6o0CaxCWAfc0CaHlP-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at dawn RUr6o0CaxCWAfc0CaHlP,cyberpunk,dawn,HlP,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city night detailed painting [ruDALL-E Arbitrary Resolution v2] 452651480-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city night 452651480,cyber,night,480,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama sunset detailed painting [ruDALL-E Arbitrary Resolution v2] 1425519167-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyberpunk city panorama sunset 1425519167,cyberpunk,sunset,167,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\cyber city dusk detailed painting [ruDALL-E Arbitrary Resolution v2] 1460951718-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city dusk 1460951718,cyber,dusk,718,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\CUYwuTqJBUtg7YWHb9Li-gigapixel-art-scale-6_00x-SharpenAI-Focus.jpg,streets of cyberpunk city at sunset CUYwuTqJBUtg7YWHb9Li,cyberpunk,sunset,9Li,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 587994212-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city dawn 587994212,cyber,dawn,212,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city night detailed painting [ruDALL-E Arbitrary Resolution v2] 1638157067-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city night 1638157067,cyber,night,067,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city night detailed painting [ruDALL-E Arbitrary Resolution v2] 759385927-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyber city night 759385927,cyber,night,927,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\streets of cyberpunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 436482476-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city night 436482476,cyberpunk,night,476,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cybepunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 1817726110-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cybepunk city night 1817726110,cybepunk,night,110,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\m8ljaYRAjnsYDKdD7sYo-gigapixel-art-scale-6_00x-SharpenAI-Focus.jpg,streets of cyberpunk city red light m8ljaYRAjnsYDKdD7sYo,cyberpunk,none,sYo,Nightcafe,red
G:\My Drive\AAVOC\10k\finalfinal\cybepunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 1700879678-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cybepunk city night 1700879678,cybepunk,night,678,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 220518099-gigapixel-art-scale-6_00x-SharpenAI-Focus.png,cyberpunk city panorama dawn 220518099,cyberpunk,dawn,099,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\2piZsRkTibAcVunEmAfm-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,streets of cyberpunk city at dawn 2piZsRkTibAcVunEmAfm,cyberpunk,dawn,Afm,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\streets of cyberpunk city night detailed painting [ruDALL-E Arbitrary Resolution v2] 903502033-gigapixel-art-scale-6_00x-SharpenAI-Focus.jpg,streets of cyberpunk city night 903502033,cyberpunk,night,033,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city night detailed painting [ruDALL-E Arbitrary Resolution v2] 120055229-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city night 120055229,cyber,night,229,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dusk detailed painting [ruDALL-E Arbitrary Resolution v2] 1795529333-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city dusk 1795529333,cyber,dusk,333,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama night detailed painting [ruDALL-E Arbitrary Resolution v2] 22435430-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city panorama night 22435430,cyberpunk,night,430,Visions of Chaos,panorama
G:\My Drive\AAVOC\10k\finalfinal\cyber city dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 1756149886-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city dawn 1756149886,cyber,dawn,886,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\oVtsX1nNhNxW83ELfyDA-gigapixel-art-scale-6_00x-SharpenAI-Standard.png,cyberpunk city dawn oVtsX1nNhNxW83ELfyDA,cyberpunk,dawn,yDA,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dusk detailed painting [ruDALL-E Arbitrary Resolution v2] 1512472886-gigapixel-art-scale-6_00x-SharpenAI-Standard.jpg,cyber city dusk 1512472886,cyber,dusk,886,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\JDaue8c2U5x73B3RoRK3-gigapixel-art-scale-6_00x-SharpenAI-Focus.jpg,streets of cyberpunk city at dusk JDaue8c2U5x73B3RoRK3,cyberpunk,dusk,RK3,Nightcafe,none
G:\My Drive\AAVOC\10k\finalfinal\cyber city dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 939612244-gigapixel-art-scale-6_00x-SharpenAI-Focus.png,cyber city dawn 939612244,cyber,dawn,244,Visions of Chaos,none
G:\My Drive\AAVOC\10k\finalfinal\cyberpunk city panorama dawn detailed painting [ruDALL-E Arbitrary Resolution v2] 1452314133-gigapixel-art-scale-6_00x-SharpenAI-Focus.png,cyberpunk city panorama dawn 1452314133,cyberpunk,dawn,133,Visions of Chaos,panorama
